Вулиця;Кількість недобудов на вулиці;№ буд.;Рік;Кількість недобудов за рік;Матеріали;Рейтинг матеріалів;Кількість поверхів;Висота стелі;Стан;Логістична регресія;Випадковий ліс;Метод опорних векторів
вул. Ракетна;1;14;2023;0;['керамблок'];1.20;22;3.1;Будується;Успіх;Успіх;Успіх
вул. Драйзера Теодора;1;27;2023;0;['з/б панель', 'цегла'];3.70;7;2.6;Будується;Успіх;Успіх;Успіх
вул. Драйзера Теодора;1;2Б;2023;0;['утеплювач', 'керамблок', 'газоблок'];3.30;15;3.08;Будується;Успіх;Успіх;Успіх
вул. Драйзера Теодора;1;8Б;2024;0;['шлакоблок'];1.00;7;2.81;Будується;Успіх;Успіх;Успіх
шосе Стратегічне;1;21;2023;0;['вентильований фасад', 'з/б панель', 'монолітно-каркасний'];3.90;17;2.63;Проектується;Успіх;Успіх;Успіх
шосе Стратегічне;1;21А;2024;0;['з/б панель'];1.70;24;2.54;Будується;Успіх;Успіх;Успіх
шосе Стратегічне;1;28;2024;0;['монолітно-каркасний', 'утеплювач'];2.00;4;3.17;Будується;Успіх;Успіх;Успіх
шосе Стратегічне;1;34;2023;0;['з/б панель'];1.70;24;3.15;Проектується;Успіх;Успіх;Успіх
шосе Стратегічне;1;38А;2022;3;['газоблок'];1.40;11;2.94;Проектується;Успіх;Успіх;Успіх
просп. Науки;1;80А;2023;0;['к/б панель'];1.70;24;2.41;Будується;Успіх;Успіх;Успіх
просп. Науки;1;84А;2024;0;['монолітно-каркасний', 'шлакоблок'];2.30;5;2.44;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;135;2023;0;['цегла сілікатна', 'цегла'];3.50;12;2.95;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;16;2023;0;['цегла сілікатна', 'вентильований фасад'];2.40;21;2.6;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;160А;2023;0;['утеплювач', 'цегла', 'газоблок'];4.10;7;2.71;Проектується;Успіх;Успіх;Успіх
шосе Харківське;1;166А;2023;0;['цегла', 'цегла сілікатна'];3.50;21;3.13;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;168Ж;2023;0;['монолітно-каркасний'];1.30;23;2.95;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;178;2022;3;['керамблок', 'з/б панель'];2.90;6;2.43;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;4А;2023;0;['вентильований фасад', 'шлакоблок'];1.90;18;2.4;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;50;2023;0;['газоблок', 'цегла сілікатна'];2.90;8;2.44;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;55;2022;3;['з/б панель', 'газоблок'];3.10;21;2.94;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;56;2022;3;['керамблок'];1.20;2;2.7;Будується;Успіх;Успіх;Успіх
шосе Харківське;1;8;2023;0;['утеплювач', 'керамблок'];1.90;18;2.82;Проектується;Успіх;Успіх;Успіх
